disco_lambda,epoch,acc,loss,eff_at_1pct,jsd,auc,disco_loss
0.0,24,0.9834281402368238,0.0516941925810177,0.9597031066251426,0.021116878132685823,0.998029,0.007163200524978921
0.1,24,0.9833846064546088,0.05236944786079269,0.9594253600364026,0.019039496580798,0.998027,0.006598157524628939
0.5,12,0.9827315997213838,0.054750024225793746,0.9583084641795543,0.018567503119314696,0.99801,0.005327014181294137
1.0,12,0.9826348579831282,0.05728590842799158,0.9575697764435436,0.016127798158805492,0.997973,0.004607802137724433
2.0,20,0.982838015633465,0.06170498079171759,0.9571147447981609,0.014835102319348922,0.997912,0.004093250914731753
5.0,18,0.9823688182029254,0.07299005429681153,0.9545736589862841,0.00933407016193953,0.997785,0.0034469851864898696
5.25,22,0.982639695070041,0.07388110344217673,0.9559978489413128,0.010408973908668037,0.997813,0.003563298643423593
5.5,22,0.9827170884606454,0.0747694393837427,0.956086491469634,0.010127574692429477,0.997808,0.003545931728878077
5.75,22,0.9827170884606454,0.07565035495874489,0.9557791973714536,0.010093105082895593,0.997802,0.003526379615473515
6.0,22,0.982726762634471,0.07652803840776336,0.9556196408204752,0.009704361336767683,0.997793,0.0034988686369504113
7.0,22,0.9827412738952094,0.0800231971321216,0.9551941566845331,0.009585282495401585,0.997774,0.0034434725278532224
8.0,22,0.982838015633465,0.0835011777007518,0.9546150254995006,0.008719132685521653,0.997749,0.0033858635775784124
9.0,29,0.9820785929881588,0.08695754731631429,0.9537286002162878,0.008573409921974013,0.997712,0.003361513598656061
10.0,22,0.9829250831978948,0.0903220402970466,0.9537876952351686,0.007585516480170054,0.997712,0.0033172505334908816
20.0,6,0.9808935066945282,0.12429493453035634,0.9467081119732418,0.0048827703583607576,0.997436,0.0031170056458620565
50.0,6,0.9793940097515672,0.2189656824540099,0.9380802392166364,0.004071694101713359,0.997133,0.0029991374908032577
100.0,6,0.9801485953099606,0.3682542814668529,0.9323598413889693,0.003810111145685543,0.997013,0.0028655512363140096
200.0,6,0.9816916260351366,0.6443744071376332,0.9273722217954249,0.0029545929221595144,0.996905,0.002687507452887676
500.0,10,0.9794520547945206,1.4322901052196424,0.9179879327971445,0.0027398212814501877,0.996553,0.0025994784673913033
1000.0,6,0.9825816500270876,2.7137379567326616,0.9210726927827253,0.002176796652645505,0.996293,0.002554331064014063
